State_Name,State_District_Name,NN_Current_Usage_Any_Method_Total,NN_Current_Usage_Any_Method_Rural,NN_Current_Usage_Any_Method_Urban,NN_Current_Usage_Any_Modern_Method_Total,NN_Current_Usage_Any_Modern_Method_Rural,NN_Current_Usage_Any_Modern_Method_Urban,NN_Current_Usage_Female_Sterilization_Total,NN_Current_Usage_Female_Sterilization_Rural,NN_Current_Usage_Female_Sterilization_Urban,NN_Current_Usage_Male_Sterilization_Total,NN_Current_Usage_Male_Sterilization_Rural,NN_Current_Usage_Male_Sterilization_Urban,NN_Current_Usage_Copper_T_Iud_Total,NN_Current_Usage_Copper_T_Iud_Rural,NN_Current_Usage_Copper_T_Iud_Urban,NN_Current_Usage_Pills_Total,NN_Current_Usage_Pills_Rural,NN_Current_Usage_Pills_Urban,NN_Current_Usage_Condom_Nirodh_Total,NN_Current_Usage_Condom_Nirodh_Rural,NN_Current_Usage_Condom_Nirodh_Urban,NN_Current_Usage_Emergency_Contraceptive_Pills_Total,NN_Current_Usage_Emergency_Contraceptive_Pills_Rural,NN_Current_Usage_Emergency_Contraceptive_Pills_Urban,NN_Current_Usage_Any_Traditional_Method_Total,NN_Current_Usage_Any_Traditional_Method_Rural,NN_Current_Usage_Any_Traditional_Method_Urban,NN_Current_Usage_Periodic_Abstinence_Total,NN_Current_Usage_Periodic_Abstinence_Rural,NN_Current_Usage_Periodic_Abstinence_Urban,NN_Current_Usage_Withdrawal_Total,NN_Current_Usage_Withdrawal_Rural,NN_Current_Usage_Withdrawal_Urban,NN_Current_Usage_Lam_Total,NN_Current_Usage_Lam_Rural,NN_Current_Usage_Lam_Urban
Madhya Pradesh,Barwani,61.4,61.2,62,57.9,58.3,56.4,51.9,54.3,41.7,0.7,0.6,1.4,0.5,0.4,1,1.9,1.3,4.4,2.7,1.5,7.5,0.2,0.2,0.4,3.5,2.9,5.6,3.3,2.8,5.4,0,0,0,0,0.1,0
Madhya Pradesh,Betul,76.9,75.9,81.1,71.8,71.1,74.8,61.7,64.3,51,0.2,0.2,0.2,0.4,0.5,0.1,1,0.9,1.8,8.3,5.1,21.7,0,0,0,5.1,4.8,6.3,1.5,1.8,0.2,0.4,0.4,0,0.3,0.3,0
Madhya Pradesh,Bhind,60.6,61.1,59.8,53.2,52.9,53.9,44.1,46,40.9,0.2,0.2,0.2,0.1,0.1,0.2,0.7,0.5,1.1,8,5.9,11.4,0,0,0.1,7.4,8.2,5.9,3.9,4.4,3,0.1,0.1,0.1,3.3,3.7,2.7
Madhya Pradesh,Bhopal,62.9,65.6,62.4,60,60.4,59.9,34.9,46.2,33,0.7,0.3,0.7,0.9,0.2,1,2.8,1.6,3.1,20.4,12.1,21.8,0.1,0,0.1,2.9,5.2,2.5,1.6,1.6,1.6,0.2,0.3,0.2,0.9,3.2,0.5
Madhya Pradesh,Chhatarpur,62.5,68.5,44.8,55.4,60.9,39,46.5,49.6,37.6,0.3,0.4,0.1,0.4,0.5,0,2.5,3.2,0.6,5.4,6.9,0.8,0.2,0.2,0,7.1,7.6,5.9,6,6.6,4.2,0.1,0.1,0,0.9,0.6,1.5
Madhya Pradesh,Chhindwara,68.9,68.8,69.3,67.8,67.8,67.9,56.1,53.6,62.5,2.2,1.7,3.8,0.1,0.2,0.1,0.7,0.7,1,8.5,11.6,0.2,0,0,0.1,1.1,1,1.4,0.1,0.1,0.2,0,0,0,0.3,0.2,0.4
Madhya Pradesh,Damoh,84.5,87.2,74.8,72.8,76.4,59.7,61.9,66.3,45.9,1.7,1.9,1,0.4,0.3,0.5,1.4,1.6,0.6,5.6,3.9,11.4,0.1,0,0.1,11.7,10.8,15.2,4.6,5.2,2.4,2.7,2,5.2,3.2,2.5,5.5
Madhya Pradesh,Datia,65.5,67.2,61.5,59.9,61.9,55.4,54.1,59.1,42.6,0.4,0.3,0.5,0.1,0,0.3,0.6,0.2,1.5,4.7,2.3,10.4,0,0,0.1,5.6,5.3,6.1,3.3,2.8,4.5,0.1,0.1,0.2,2,2.4,1.1
Madhya Pradesh,Dewas,63.4,62.7,64.8,62.2,61.6,63.4,53.1,56,47.3,0.6,0.7,0.4,0.2,0.2,0.2,1.4,1.2,1.9,6.9,3.5,13.4,0,0,0.1,1.2,1.1,1.4,0.1,0.1,0.2,0.2,0.1,0.4,0.8,0.9,0.7
Madhya Pradesh,Dhar,64.5,62.6,72,61.7,60.5,66.5,56.6,57,54.6,0.6,0.6,0.5,0.3,0.2,0.8,1,0.9,1.4,2.9,1.8,7.8,0.3,0.1,1.3,2.7,2.1,5.5,2.6,1.9,5.2,0,0,0.1,0,0,0.1
Madhya Pradesh,Dindori,59.6,59.4,NA,59,58.8,NA,56.6,56.4,NA,0.3,0.3,NA,0.1,0.1,NA,0.7,0.7,NA,0.5,0.6,NA,0.8,0.8,NA,0.7,0.6,NA,0.3,0.2,NA,0,0,NA,0.1,0.1,NA
Madhya Pradesh,East Nimar,67.2,69,62,65,66.4,60.8,56.3,60.3,44.6,0.7,0.6,0.8,0.2,0.2,0.4,0.8,0.8,1,6.8,4.4,13.9,0.1,0.1,0,2.3,2.6,1.2,0.2,0.2,0.1,0.2,0.1,0.4,1.8,2.2,0.6
Madhya Pradesh,Guna,60.7,60.1,62.5,55.7,54.2,59.7,44.3,47,36.7,0.6,0.5,1,0.2,0.2,0.2,1.7,1.4,2.4,8.8,5.1,19.1,0.1,0,0.3,5,5.9,2.7,0.2,0.3,0.1,0.2,0.1,0.2,4.6,5.4,2.4
Madhya Pradesh,Gwalior,61.1,64.6,59.7,56.3,58.7,55.3,39.6,50.7,35,0.4,0.2,0.5,0.5,0.2,0.6,1.8,0.9,2.1,13.9,6.7,16.9,0.1,0.1,0.1,4.8,5.9,4.3,2.9,4,2.4,0.2,0.2,0.2,1.6,1.6,1.6
Madhya Pradesh,Harda,65.6,62.3,79.3,65,61.6,78.9,54.2,53.8,55.4,3.1,0.7,12.6,0.2,0.1,0.5,3.2,3.2,3.3,4.3,3.6,7,0,0.1,0,0.6,0.7,0.4,0.1,0.1,0.2,0,0,0.1,0.1,0.1,0
Madhya Pradesh,Hoshangabad,60,57.9,64,59.6,57.9,62.7,49.8,50.8,47.9,3.3,5,0.3,0.1,0,0.2,1.1,0.2,2.8,5.2,1.9,11.3,0,0,0.1,0.5,0,1.3,0.2,0,0.6,0,0,0,0,0,0
Madhya Pradesh,Indore,66.3,72.1,64.6,64.6,71,62.7,45.9,62.7,40.7,0.6,0.4,0.7,0.5,0.1,0.6,1.9,1.2,2.1,15.7,6.4,18.5,0.1,0.1,0,1.7,1.1,1.9,0.9,0.2,1.1,0.2,0.2,0.2,0.6,0.7,0.5
Madhya Pradesh,Jabalpur,65.6,68.7,63.5,60.6,62.6,59.4,50.2,56.6,45.9,0.5,0.4,0.5,0.1,0.2,0.1,0.8,1.9,0.1,8.9,3,12.8,0.2,0.3,0,4.9,6.1,4.1,4.5,6.1,3.4,0,0,0,0.4,0,0.6
Madhya Pradesh,Jhabua,52,50.8,62.3,51.3,50.1,61.3,46.8,46.8,46.9,0.7,0.7,0.9,0.3,0.2,0.9,0.5,0.4,0.9,2.8,1.8,11.2,0.1,0.1,0.5,0.8,0.7,1,0.4,0.4,0.6,0.1,0.1,0,0.1,0.1,0.2
Madhya Pradesh,Katni,68.3,67.3,70.8,54.8,53.7,57.6,48.7,48.2,49.8,0.4,0.4,0.4,0.3,0.3,0.4,1.4,1.3,1.6,3.8,3.4,5.1,0.1,0.1,0.2,13.5,13.5,13.3,5.3,5.1,5.9,0,0,0,0.8,0.7,1.2
Madhya Pradesh,Mandla,62.4,62,65.8,61.5,61.1,65.2,54.7,53.6,64.1,0.3,0.3,0.4,0.2,0.2,0.1,0.9,1,0.5,5.3,5.9,0.1,0.1,0.1,0,0.9,0.9,0.5,0.2,0.2,0.5,0,0,0,0.2,0.2,0
Madhya Pradesh,Mandsaur,61.1,60.7,62.5,58.3,57.8,59.8,46.6,48.8,39.5,1.3,1.4,1,0.3,0.3,0.5,1,0.8,1.6,9.1,6.6,17,0,0,0.1,2.8,2.9,2.6,1.4,1.5,1,0.2,0.3,0.1,1.1,1,1.5
Madhya Pradesh,Morena,51.9,51.3,53.2,47.1,48.5,43.9,38.2,44.4,24.3,0.8,0.6,1.3,0.6,0.1,1.7,1.3,0.7,2.6,6,2.7,13.5,0.1,0.1,0.3,4.8,2.9,9.3,3.5,1.9,7.1,0.3,0.2,0.6,0.8,0.7,1.2
