State_Name,State_District_Name,YY_Crude_Death_Rate_Cdr_Total_Person,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Crude_Death_Rate_Cdr_Total_Female,YY_Crude_Death_Rate_Cdr_Rural_Person,YY_Crude_Death_Rate_Cdr_Rural_Male,YY_Crude_Death_Rate_Cdr_Rural_Female,YY_Crude_Death_Rate_Cdr_Urban_Person,YY_Crude_Death_Rate_Cdr_Urban_Male,YY_Crude_Death_Rate_Cdr_Urban_Female,YY_Infant_Mortality_Rate_Imr_Total_Person,YY_Infant_Mortality_Rate_Imr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Female,YY_Infant_Mortality_Rate_Imr_Rural_Person,YY_Infant_Mortality_Rate_Imr_Rural_Male,YY_Infant_Mortality_Rate_Imr_Rural_Female,YY_Infant_Mortality_Rate_Imr_Urban_Person,YY_Infant_Mortality_Rate_Imr_Urban_Male,YY_Infant_Mortality_Rate_Imr_Urban_Female,YY_Neo_Natal_Mortality_Rate_Total,YY_Neo_Natal_Mortality_Rate_Rural,YY_Neo_Natal_Mortality_Rate_Urban,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,YY_Post_Neo_Natal_Mortality_Rate_Urban,YY_Under_Five_Mortality_Rate_U5MR_Total_Person,YY_Under_Five_Mortality_Rate_U5MR_Total_Male,YY_Under_Five_Mortality_Rate_U5MR_Total_Female,YY_Under_Five_Mortality_Rate_U5MR_Rural_Person,YY_Under_Five_Mortality_Rate_U5MR_Rural_Male,YY_Under_Five_Mortality_Rate_U5MR_Rural_Female,YY_Under_Five_Mortality_Rate_U5MR_Urban_Person,YY_Under_Five_Mortality_Rate_U5MR_Urban_Male,YY_Under_Five_Mortality_Rate_U5MR_Urban_Female
Uttar Pradesh,Banda,9.17,9.52,8.8,9.17,9.56,8.75,9.19,9.31,9.05,55.25,54.72,55.84,52.1,54.87,49.11,73.83,53.89,37.04,35.68,34.34,43.62,19.56,17.76,30.2,96,84,108,97,87,107,96,72,125
Uttar Pradesh,Barabanki,7.66,7.57,7.77,7.89,7.91,7.87,4.93,3.56,6.52,67.83,66.23,69.56,69.71,69.72,69.7,NA,NA,NA,51.74,53.44,NA,16.08,16.28,NA,97,94,99,100,99,101,NA,NA,NA
Uttar Pradesh,Bareilly,8.66,8.6,8.73,9.39,9.3,9.49,7.38,7.36,7.4,78.01,81.11,74.9,86.54,88.72,84.36,57.31,62.74,84.29,51.63,56.45,39.92,26.38,30.09,17.39,104,99,109,117,110,125,74,75,75
Uttar Pradesh,Basti,11.08,12,11.5,11.46,12.42,10.6,5.93,6.82,5,80.78,83.19,78,81.81,84.82,79,NA,NA,NA,60.39,61.04,NA,20.39,20.77,NA,106,102,110,109,105,112,NA,NA,NA
Uttar Pradesh,Bijnor,7.7,7.99,7.39,8.27,8.69,7.82,5.77,5.63,5.92,61.52,59.8,63.58,64.49,60.46,69.3,50.52,57.38,43.93,47.44,51.01,34.18,14.09,13.48,16.34,79,74,85,83,76,92,64,68,59
Uttar Pradesh,Budaun,9.3,9.41,9.19,9.67,9.65,9.69,7.65,8.29,7,84.28,77.13,92.91,84.83,76.57,94.51,NA,NA,NA,65.14,64.06,NA,19.15,20.77,NA,108,93,126,110,91,131,NA,NA,NA
Uttar Pradesh,Bulandshahar,8.91,8.89,8.93,10.04,10.24,9.81,6.68,6.21,7.2,67.87,68.91,66.81,66.42,75.85,56.54,71.05,52.92,58.22,47.89,49.48,44.4,19.98,16.94,26.64,89,87,93,92,96,90,84,66,101
Uttar Pradesh,Chandauli,9.41,9.95,8.87,9.47,9.93,9.01,8.88,10.1,7.58,77.03,76.94,77.14,75.56,72.84,78.46,93.36,123.46,70.71,55.91,54.4,72.61,21.13,21.16,20.75,98,94,102,98,90,106,103,136,70
Uttar Pradesh,Chitrakoot,8.64,8.71,8.55,8.87,8.93,8.81,6.54,6.83,6.22,67.32,67.91,66.69,67.25,68.87,65.52,68.32,54.22,99.24,45.03,45.14,43.48,22.29,22.11,24.84,119,111,127,123,116,131,81,62,101
Uttar Pradesh,Deoria,10.19,11.45,9.11,10.31,11.59,9.22,9.38,10.52,8.34,69.76,67.71,71.8,72.54,70.11,75,44.73,43.17,0,53.71,56.83,25.56,16.05,15.71,19.17,83,79,86,86,83,89,57,48,65
