State_Name,State_District_Name,ZZ_Crude_Birth_Rate_Total_Lower_Limit,ZZ_Crude_Birth_Rate_Total_Upper_Limit,ZZ_Crude_Birth_Rate_Rural_Lower_Limit,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,ZZ_Crude_Birth_Rate_Urban_Lower_Limit,ZZ_Crude_Birth_Rate_Urban_Upper_Limit,ZZ_Crude_Death_Rate_Total_Lower_Limit,ZZ_Crude_Death_Rate_Total_Upper_Limit,ZZ_Crude_Death_Rate_Rural_Lower_Limit,ZZ_Crude_Death_Rate_Rural_Upper_Limit,ZZ_Crude_Death_Rate_Urban_Lower_Limit,ZZ_Crude_Death_Rate_Urban_Upper_Limit,ZZ_Infant_Mortality_Rate_Total_Lower_Limit,ZZ_Infant_Mortality_Rate_Total_Upper_Limit,ZZ_Infant_Mortality_Rate_Rural_Lower_Limit,ZZ_Infant_Mortality_Rate_Rural_Upper_Limit,ZZ_Infant_Mortality_Rate_Urban_Lower_Limit,ZZ_Infant_Mortality_Rate_Urban_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Total_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Total_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Upper_Limit
Uttar Pradesh,Saharanpur,24.9,27.59,26.17,28.92,18.93,25.18,8.24,9.86,8.31,10.21,6.9,9.85,62.4,90.4,67.94,101.02,29.49,58.33,90,107,101,121,36,70,868,977,850,968,841,1136
Uttar Pradesh,Sant Kabir Nagar,28.69,32.14,29.14,32.79,17.37,27.31,9.17,10.68,9.28,10.86,5.96,9.57,56.41,70.4,57.35,71.48,NA,NA,82,100,83,102,NA,NA,884,1005,880,1005,751,1280
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),22.79,26.02,23.78,27.19,13.8,20.9,6.76,8.06,6.92,8.35,4.69,7.17,70.64,92.94,69.25,91.96,50.36,135.98,96,116,96,117,75,143,830,946,843,966,585,929
Uttar Pradesh,Shahjahanpur,26.14,30.18,27.49,31.64,18.09,24.35,7.12,8.3,7.53,8.64,4.42,7.25,69.66,91.12,74.24,96.9,22.74,66.55,91,109,97,117,36,74,855,962,863,978,701,980
Uttar Pradesh,Shrawasti,36.88,42.9,37.06,43.26,29.62,30.94,10.77,13.43,10.79,13.54,9.46,10.08,87.86,104.86,87.19,104.47,NA,NA,120,140,120,141,NA,NA,808,909,807,910,587,1143
Uttar Pradesh,Siddharthnagar,35.7,39.37,35.91,39.68,25.06,34.27,10.47,11.84,10.53,11.93,5.5,12.12,79.17,95.18,79.55,95.86,NA,NA,107,124,109,126,NA,NA,908,1008,905,1006,794,1426
Uttar Pradesh,Sitapur,26.4,29.63,26.89,30.42,17.44,27.32,8.05,9.49,8.2,9.76,5.08,8.78,72.46,87.93,72.51,88.93,51.77,96.62,104,124,106,127,58,122,934,1056,931,1058,798,1253
Uttar Pradesh,Sonbhadra,26.1,30.26,28.4,32.61,11.36,18.97,8.06,9.35,8.66,10.06,3.42,6.64,53.18,84,55.1,88.65,NA,NA,88,110,94,118,NA,NA,862,1004,871,1019,596,1089
Uttar Pradesh,Sultanpur,20.89,22.88,21.14,23.18,14.47,20.77,6.92,8.01,6.96,8.11,5.66,7.19,36.46,53.74,37.24,54.77,NA,NA,58,74,59,75,NA,NA,881,998,880,1000,689,1239
Uttar Pradesh,Unnao,20.05,21.94,20.61,22.58,15.5,20.7,6.42,7.25,6.68,7.62,4.55,6.14,48.87,67.78,49.84,70.42,26.73,69.21,75,91,76,94,49,93,883,995,864,981,877,1229
Uttar Pradesh,Varanasi,16.58,21.53,19.3,21.97,12.67,21.72,6.34,8.64,6.94,8.55,4.99,9.39,62.86,80.32,59.78,82.75,58.61,85.48,82,98,84,105,71,99,798,900,804,931,741,912
Uttarakhand,Almora,15.11,16.46,15.42,16.84,8.88,13.02,5.72,6.36,5.81,6.48,3.49,5.73,17.14,23.64,17.51,24.25,NA,NA,20,28,21,29,NA,NA,834,925,835,928,663,1057
Uttarakhand,Bageshwar,14.48,15.58,14.57,15.7,10.5,14.97,6.62,7.38,6.59,7.36,5.16,9.83,26.87,36.05,27.71,37.04,NA,NA,33,43,33,44,NA,NA,783,877,784,880,536,1092
Uttarakhand,Chamoli,17.62,18.62,14.66,16.84,17.24,18.16,5.46,5.89,3.06,3.92,5.09,5.48,25.08,31.61,6.24,15.14,22.67,28.43,26,33,29,37,5,18,824,899,820,901,768,974
Uttarakhand,Champawat,15.55,18.28,15.71,18.43,11.15,21.1,5.05,6.07,5.12,6.3,3.75,5.88,21.77,45.39,17.9,45.17,33.57,55.98,32,52,28,49,27,93,790,974,778,975,696,1197
Uttarakhand,Dehradun,15.91,17.26,18.49,20.87,13.63,15.24,6.26,6.72,6.53,7.2,5.91,6.54,30.67,37.6,34.83,45.61,24.13,32.65,37,43,43,53,29,37,857,916,877,958,815,901
Uttarakhand,Haridwar,19.89,24,22.6,26.64,13.89,20.59,6.61,8.17,6.71,8.65,5.61,8.16,54.77,73.05,58.58,82.23,33.55,61.69,69,85,78,99,39,65,821,931,812,940,773,992
Uttarakhand,Nainital,15.21,17.32,14.76,17.57,14.83,17.98,4.97,5.58,5.19,5.98,4.34,5.3,22.99,34.85,18.36,33.7,24.02,42.19,31,42,29,42,28,46,866,970,842,973,851,1025
Uttarakhand,Pauri Garhwal,18.26,19.33,18.69,19.88,14.7,17.22,7.63,8.23,7.97,8.58,5.03,6.8,33.75,41.1,35.07,42.7,14.88,39.5,41,49,43,51,22,44,847,912,843,911,794,1016
Uttarakhand,Pithoragarh,14.85,16.04,15.47,16.87,11.07,13.17,5.85,6.48,6.44,7.15,2.68,3.86,18.73,27.1,20.19,29.69,NA,NA,22,31,24,34,NA,NA,724,813,734,833,581,798
Uttarakhand,Rudraprayag,16.6,17.43,16.67,17.52,NA,NA,5.86,6.26,5.91,6.31,NA,NA,16.61,21.84,16.72,21.99,NA,NA,23,30,23,30,NA,NA,817,898,816,897,NA,NA
Uttarakhand,Tehri Garhwal,20.53,21.66,21.21,22.37,15.17,18.38,8.45,9.04,8.89,9.5,5.21,6.67,49.08,57.41,51.84,60.79,20.23,36.91,60,69,64,74,22,43,840,900,855,918,667,842
Uttarakhand,Udham Singh Nagar,17.31,19.16,17.4,19.94,16.23,18.7,4.91,5.68,5.2,6.13,4.06,5.25,27.95,41.23,32.57,49.03,13.13,32.79,38,49,40,54,26,46,821,920,855,978,710,879
Uttarakhand,Uttarkashi,14.87,16.87,15.49,17.53,10,13.39,4.27,4.99,4.4,5.17,2.96,4.24,34.12,49.02,34.64,50.99,21.55,38.65,44,59,46,61,14,55,850,972,862,991,610,989

