State_Name,State_District_Name,QQ_Institutional_Delivery_Total,QQ_Institutional_Delivery_Rural,QQ_Institutional_Delivery_Urban,QQ_Delivery_At_Government_Institution_Total,QQ_Delivery_At_Government_Institution_Rural,QQ_Delivery_At_Government_Institution_Urban,QQ_Delivery_At_Private_Institution_Total,QQ_Delivery_At_Private_Institution_Rural,QQ_Delivery_At_Private_Institution_Urban,QQ_Delivery_At_Home_Total,QQ_Delivery_At_Home_Rural,QQ_Delivery_At_Home_Urban,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Total,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Rural,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Urban,QQ_Safe_Delivery_Total,QQ_Safe_Delivery_Rural,QQ_Safe_Delivery_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Urban
Jharkhand,Ranchi,64.2,53.3,85.8,32.2,33.8,29,30.6,18.2,55.3,35.3,46.1,13.9,30.8,30,35.7,70.3,60.7,89.5,11.2,10,14.1,36.3,31.7,39.4
Jharkhand,Sahibganj,29.5,25,78.2,21.1,17.5,60,8.1,7.1,18.2,70.1,74.7,20.4,21.5,21.2,33.5,39.6,35.7,81.4,6.3,6.3,6.2,27.9,28.4,25.7
Madhya Pradesh,Balaghat,79.8,79.5,81.8,70.4,71.5,63.8,9.1,7.9,16.5,20.2,20.5,18.2,60.8,59.9,67.1,86.1,85.6,88.8,7,6.6,9.4,43.4,39.4,54.5
Madhya Pradesh,Barwani,73.7,67.7,97.8,68.9,63.6,90.1,4.4,3.7,7.4,26.2,32.2,2.2,26.6,26.1,57.1,80.7,76.1,99.1,2.8,2.6,3.6,22.8,22.7,22.9
Madhya Pradesh,Betul,86.2,86.2,86.3,74.3,75.2,69.7,11.8,10.9,16.4,12.6,13.6,7.5,32.9,30.2,57.5,88,87.7,89.3,2.5,2.3,3.8,32.3,32,33.3
Madhya Pradesh,Bhind,85.1,83.3,88.6,79,79,79,6,4.2,9.6,14.8,16.5,11.4,41.7,38.4,50.8,91.3,89.7,94.4,8,9,5.9,38.9,40.9,37.2
Madhya Pradesh,Bhopal,91.2,86.3,92.3,69.6,77.3,67.8,21.5,8.9,24.3,8.5,13.7,7.4,59.1,43.5,65.8,96.2,92.3,97.1,9.1,5,10.2,30.4,30,30.4
Madhya Pradesh,Chhatarpur,80.3,80.9,78,70.5,72.4,63.3,9.5,8.3,14.2,19.6,18.9,22,29.2,26.5,38.1,84.9,84.7,85.6,4.2,4.1,5,29,29.6,27.8
Madhya Pradesh,Chhindwara,81.8,79.5,88.5,70.3,70.6,69.7,11.4,8.9,18.8,18.1,20.5,11.3,34,34.5,31.5,85.8,84.1,90.6,5.4,5.1,6.3,33.3,34.8,31.1
Madhya Pradesh,Damoh,57.6,53.1,76.3,48.3,43.7,66.9,9.2,9.3,8.9,42.3,46.9,23.7,50.1,48.7,61.3,76.2,73.1,89,5.2,5.1,5.7,54.5,55.5,50
