State_Name,State_District_Name,AA_Sample_Units_Total,AA_Sample_Units_Rural,AA_Sample_Units_Urban,AA_Households_Total,AA_Households_Rural,AA_Households_Urban,AA_Population_Total,AA_Population_Rural,AA_Population_Urban,AA_Ever_Married_Women_Aged_15_49_Years_Total,AA_Ever_Married_Women_Aged_15_49_Years_Rural,AA_Ever_Married_Women_Aged_15_49_Years_Urban,AA_Currently_Married_Women_Aged_15_49_Years_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,AA_Currently_Married_Women_Aged_15_49_Years_Urban,AA_Children_12_23_Months_Total,AA_Children_12_23_Months_Rural,AA_Children_12_23_Months_Urban
Odisha,Ganjam,67,50,17,14175,12234,1941,61213,52656,8557,12646,10913,1733,11737,10113,1624,1396,1219,177
Odisha,Jagatsinghapur,78,66,12,16026,14198,1828,62868,56298,6570,11953,10607,1346,11514,10202,1312,1352,1231,121
Odisha,Jajapur,74,69,5,17509,16757,752,78688,75303,3385,15698,15032,666,14890,14267,623,2688,2609,79
Odisha,Jharsuguda,213,113,100,41734,27681,14053,175022,113545,61477,34890,22402,12488,32360,20752,11608,5732,3632,2100
Odisha,Kalahandi,45,40,5,12307,11161,1146,45083,40578,4505,9261,8296,965,8852,7931,921,1155,1065,90
Odisha,Kandhamal,61,54,7,9708,8607,1101,37118,32426,4692,7112,6186,926,6518,5665,853,827,742,85
Odisha,Kendrapara,74,67,7,15506,14513,993,67621,63138,4483,13295,12424,871,12710,11870,840,1980,1856,124
Odisha,Kendujhar,97,78,19,15687,12590,3097,69999,55989,14010,14473,11523,2950,13497,10777,2720,2797,2279,518
Odisha,Khordha,226,105,121,44963,24084,20879,192676,109054,83622,39236,21350,17886,37453,20387,17066,4008,2518,1490
Odisha,Koraput,45,34,11,8975,7420,1555,35559,29362,6197,7326,6011,1315,6735,5542,1193,1352,1137,215
Odisha,Malkangiri,61,54,7,14183,12832,1351,59733,54315,5418,12637,11473,1164,11785,10720,1065,1731,1615,116
Odisha,Mayurbhanj,69,61,8,11756,10732,1024,49325,44955,4370,10111,9186,925,9294,8450,844,1793,1682,111
Odisha,Nabarangapur,39,35,4,12309,11668,641,50005,47533,2472,10345,9813,532,9714,9228,486,1235,1199,36
Odisha,Nayagarh,75,70,5,17973,17274,699,65190,62730,2460,13619,13085,534,13009,12512,497,1709,1655,54
Odisha,Nuapada,39,35,4,10153,9669,484,40581,38643,1938,7590,7199,391,7245,6876,369,1116,1064,52
Odisha,Puri,91,73,18,18552,15611,2941,81246,68576,12670,16114,13481,2633,15449,12957,2492,1679,1429,250
Odisha,Rayagada,54,43,11,9370,7481,1889,35464,28164,7300,7290,5743,1547,6549,5130,1419,764,635,129
Odisha,Sambalpur,60,38,22,11348,6995,4353,47946,28801,19145,9668,5747,3921,8855,5261,3594,1797,1085,712
Odisha,Sonapur,73,65,8,14937,13937,1000,59949,56001,3948,10774,10046,728,10224,9532,692,1538,1437,101
