State_Name,State_District_Name,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Total,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Rural,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Urban,MM_Women_Who_Received_Any_Anc_Before_Abortion_Total,MM_Women_Who_Received_Any_Anc_Before_Abortion_Rural,MM_Women_Who_Received_Any_Anc_Before_Abortion_Urban,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Total,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Rural,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Urban,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Total,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Rural,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Urban,MM_Abortion_Performed_By_Skilled_Health_Personnel_Total,MM_Abortion_Performed_By_Skilled_Health_Personnel_Rural,MM_Abortion_Performed_By_Skilled_Health_Personnel_Urban,MM_Abortion_Taking_Place_In_Institution_Total,MM_Abortion_Taking_Place_In_Institution_Rural,MM_Abortion_Taking_Place_In_Institution_Urban
Madhya Pradesh,Shivpuri,2.7,2.4,4.3,61.9,63.8,55,22.5,21.9,25,3.5,3.5,3.5,57.3,60.7,45,56.7,61.3,40
Madhya Pradesh,Sidhi,1.8,1.8,2.4,43.2,37.6,80,3.3,3.8,0,3.9,3.9,3.8,23.5,21,40,33.4,32.4,40
Madhya Pradesh,Tikamgarh,1.5,1.5,1.7,24,16.6,57.1,4.3,2.1,14.3,3.3,3.4,2.9,35,26.9,71.4,29.6,23.4,57.1
Madhya Pradesh,Ujjain,4.6,5.7,2.5,72.1,66.7,95.2,58.5,50,95.2,3.4,3.4,3.3,78.3,74.3,95.2,78.3,74.3,95.2
Madhya Pradesh,Umaria,2,1.9,2.5,33.7,35.9,23.1,13.1,14.2,7.7,3.2,3.2,3.2,29.7,27.9,38.5,33,28.7,53.8
Madhya Pradesh,Vidisha,2.4,2.2,3.1,42.3,40.9,45,9.1,11.2,5,3.3,3.4,3.1,46.3,39.3,60,38.1,32.2,50
Madhya Pradesh,West Nimar,3.2,2.6,6.7,71.8,83.1,46.9,32.8,35.6,26.6,3.4,3.4,3.4,55.8,59.8,46.9,58.1,63.8,45.3
Odisha,Anugul,11.25,10.78,13.64,50.04,48.05,57.95,20.01,18.48,26.14,2.74,2.81,2.43,47.4,43.89,61.36,45.23,41.18,61.36
Odisha,Balangir,8.21,8.25,7.6,68.22,67.83,73.68,17.48,16.84,26.32,2.9,2.93,2.42,39.22,36.37,78.95,35.27,32.51,73.68
Odisha,Baleshwar,5.48,5.11,8.67,67.24,64.73,80,11.71,10.74,16.67,2.91,2.96,2.63,56.92,56.32,60,52.02,52.42,50
Odisha,Bargarh,13.43,13.52,12.36,63.8,64.06,60.47,19.58,19.66,18.6,2.87,2.89,2.6,42.29,42.7,37.21,39.72,40.48,30.23
Odisha,Baudh,5.03,5.17,NA,54.11,54.61,NA,18.67,18.84,NA,2.81,2.82,NA,40.75,41.12,NA,35.44,35.76,NA
Odisha,Bhadrak,10.62,10.64,10.49,60.23,59.31,66.67,16.69,16.94,15,2.73,2.73,2.73,59.74,58.03,71.67,58.27,56.83,68.33
Odisha,Cuttack,3.01,2.87,3.43,52.84,42.17,80.77,22.23,18.97,30.77,3.1,3.1,3.08,60.9,65.06,50,55.06,59.92,42.31
Odisha,Debagarh,14.27,13.9,18.52,59.56,58.64,67.5,12.39,10.36,30,2.74,2.74,2.7,47.73,49.2,35,44.27,45.06,37.5
Odisha,Dhenkanal,11.73,11.38,15.83,64.89,63.92,73.17,24.7,24.45,26.83,2.91,2.96,2.46,48.83,46.26,70.73,48.95,46.39,70.73
Odisha,Gajapati,1.63,1.32,4.32,60.59,51.21,85.71,26.78,15.45,57.14,4.41,4.57,4,79.47,87.8,57.14,72.96,78.86,57.14
Odisha,Ganjam,4.77,4.6,5.82,62.01,59.35,75,20.08,20.35,18.75,3.23,3.2,3.38,49.05,51.42,37.5,40.31,42.17,31.25
Odisha,Jagatsinghapur,1.69,1.61,2.53,54.19,51.07,75,30.57,27.66,50,3.62,3.6,3.75,79.65,76.6,100,79.65,76.6,100
Odisha,Jajapur,13.44,13.43,NA,52.79,52.23,NA,12.12,12.23,NA,2.57,2.57,NA,48.12,47.17,NA,46.72,45.72,NA
