State,LandCategory,Region,Region or State,Year,Acre Value
Maine,Farm Real Estate,Northeast,State,2003,1750
Maryland,Farm Real Estate,Northeast,State,2003,4150
Massachusetts,Farm Real Estate,Northeast,State,2003,9300
New Hampshire,Farm Real Estate,Northeast,State,2003,3100
New Jersey,Farm Real Estate,Northeast,State,2003,9100
New York,Farm Real Estate,Northeast,State,2003,1700
Pennsylvania,Farm Real Estate,Northeast,State,2003,3450
Rhode Island,Farm Real Estate,Northeast,State,2003,9300
Vermont,Farm Real Estate,Northeast,State,2003,2050
Lake,Farm Real Estate,Lake States,Region,2003,2010
Michigan,Farm Real Estate,Lake States,State,2003,2680
Minnesota,Farm Real Estate,Lake States,State,2003,1600
Wisconsin,Farm Real Estate,Lake States,State,2003,2300
Corn Belt,Farm Real Estate,Corn Belt,Region,2003,2130
Illinois,Farm Real Estate,Corn Belt,State,2003,2430
Indiana,Farm Real Estate,Corn Belt,State,2003,2570
Iowa,Farm Real Estate,Corn Belt,State,2003,2010
Missouri,Farm Real Estate,Corn Belt,State,2003,1470
Ohio,Farm Real Estate,Corn Belt,State,2003,2740
Northern Plains,Farm Real Estate,Northern Plains,Region,2003,594
Kansas,Farm Real Estate,Northern Plains,State,2003,685
Nebraska,Farm Real Estate,Northern Plains,State,2003,775
North Dakota,Farm Real Estate,Northern Plains,State,2003,425
South Dakota,Farm Real Estate,Northern Plains,State,2003,460
Appalachian,Farm Real Estate,Appalachian,Region,2003,2370
Kentucky,Farm Real Estate,Appalachian,State,2003,1900
North Carolina,Farm Real Estate,Appalachian,State,2003,3100
Tennessee,Farm Real Estate,Appalachian,State,2003,2400
Virginia,Farm Real Estate,Appalachian,State,2003,2700
West Virginia,Farm Real Estate,Appalachian,State,2003,1400
Southeast,Farm Real Estate,Southeast,Region,2003,2270
Alabama,Farm Real Estate,Southeast,State,2003,1760
Florida,Farm Real Estate,Southeast,State,2003,2900
Georgia,Farm Real Estate,Southeast,State,2003,2200
